file_name,signal_mean,signal_std,signal_skew,signal_kurtosis,zcr_mean,zcr_std,rmse_mean,rmse_std,tempo,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_2_mean,spectral_bandwidth_2_std,spectral_bandwidth_3_mean,spectral_bandwidth_3_std,spectral_bandwidth_4_mean,spectral_bandwidth_4_std,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,spectral_contrast_4_mean,spectral_contrast_5_mean,spectral_contrast_6_mean,spectral_contrast_7_mean,spectral_contrast_1_std,spectral_contrast_2_std,spectral_contrast_3_std,spectral_contrast_4_std,spectral_contrast_5_std,spectral_contrast_6_std,spectral_contrast_7_std,spectral_rolloff_mean,spectral_rolloff_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,mfccs_8_std,mfccs_9_std,mfccs_10_std,mfccs_11_std,mfccs_12_std,mfccs_13_std,chroma_stft_1_mean,chroma_stft_2_mean,chroma_stft_3_mean,chroma_stft_4_mean,chroma_stft_5_mean,chroma_stft_6_mean,chroma_stft_7_mean,chroma_stft_8_mean,chroma_stft_9_mean,chroma_stft_10_mean,chroma_stft_11_mean,chroma_stft_12_mean,chroma_stft_1_std,chroma_stft_2_std,chroma_stft_3_std,chroma_stft_4_std,chroma_stft_5_std,chroma_stft_6_std,chroma_stft_7_std,chroma_stft_8_std,chroma_stft_9_std,chroma_stft_10_std,chroma_stft_11_std,chroma_stft_12_std,label
22564_Wedding_music.wav,0.115,0.151,1.317,0.716,0.07,0.052,0.145,0.042,129.199,1592.894,837.747,2045.648,537.049,2708.924,468.247,2708.924,468.247,18.482,17.708,22.44,21.513,22.764,21.095,35.4,4.472,4.063,4.056,3.907,3.639,3.831,5.213,3307.759,1746.148,-142.636,123.544,7.349,29.316,13.399,16.339,-3.228,12.532,-6.372,-3.621,-4.866,1.134,1.909,55.087,34.763,21.004,16.305,17.201,11.593,10.033,9.52,8.912,8.174,9.551,9.263,7.676,0.256,0.336,0.22,0.234,0.397,0.25,0.224,0.209,0.357,0.586,0.396,0.371,0.228,0.339,0.246,0.203,0.293,0.194,0.246,0.248,0.276,0.375,0.272,0.35,8
2170_Wedding_music.wav,0.1,0.13,1.386,0.846,0.063,0.013,0.125,0.038,99.384,1221.528,261.625,1518.883,309.207,2166.347,311.463,2166.347,311.463,27.037,16.644,21.26,21.889,21.26,19.697,38.641,5.045,4.117,4.422,3.676,3.333,2.342,4.467,2169.01,774.779,-160.43,152.838,-22.233,13.731,-19.441,2.701,-20.735,-6.179,-12.644,-6.178,-7.822,-9.76,-10.761,39.937,21.021,10.863,12.045,11.556,9.241,8.503,8.491,7.361,8.046,7.757,7.145,6.323,0.182,0.376,0.245,0.266,0.58,0.226,0.24,0.134,0.278,0.432,0.209,0.213,0.197,0.345,0.283,0.219,0.378,0.177,0.295,0.146,0.229,0.356,0.206,0.285,8
12235_Dance_music.wav,0.377,0.449,0.377,-0.865,0.055,0.039,0.44,0.088,129.199,2488.919,850.331,2774.207,355.493,3285.023,259.509,3285.023,259.509,23.42,14.912,18.102,17.019,18.599,19.38,32.128,4.904,4.659,5.534,4.316,4.423,4.345,2.881,5640.531,1479.081,-36.847,62.946,7.6,31.364,10.107,22.049,18.266,11.324,7.406,18.367,1.808,12.786,5.105,56.005,30.493,17.4,14.194,10.092,11.339,9.361,8.388,8.288,10.063,9.571,7.201,6.929,0.476,0.435,0.405,0.399,0.493,0.52,0.616,0.626,0.622,0.596,0.594,0.549,0.349,0.285,0.226,0.219,0.291,0.283,0.26,0.271,0.307,0.322,0.291,0.294,7
4743_Dance_music.wav,0.092,0.12,1.304,0.652,0.128,0.051,0.115,0.032,151.999,2502.569,613.75,2544.902,343.957,3040.35,236.255,3040.35,236.255,26.055,14.756,18.908,20.388,19.517,18.507,38.885,4.954,3.934,3.966,3.832,3.026,2.843,6.092,5432.633,1368.441,-94.693,87.899,-12.663,5.028,-9.384,14.688,-0.655,14.976,-12.357,9.086,-14.272,-0.135,-17.069,37.888,16.564,15.945,12.229,9.082,9.681,12.593,8.133,7.204,7.107,6.859,5.795,6.477,0.302,0.3,0.344,0.465,0.355,0.361,0.227,0.419,0.311,0.282,0.487,0.264,0.281,0.261,0.259,0.361,0.272,0.322,0.197,0.358,0.253,0.236,0.343,0.196,7
17151_Wedding_music.wav,0.192,0.244,1.151,0.294,0.083,0.016,0.236,0.059,92.285,1494.651,138.046,1436.222,139.801,1965.976,178.588,1965.976,178.588,19.252,15.123,18.71,18.55,20.229,23.528,52.026,6.898,3.63,3.765,2.688,2.253,3.584,6.047,2711.04,348.286,-75.659,128.144,-77.813,-8.201,-49.628,-29.26,-33.993,-27.068,-29.79,-13.462,-23.023,-0.733,-7.004,26.13,10.938,10.662,7.632,7.892,6.731,5.457,5.829,6.022,6.735,8.923,6.895,7.022,0.271,0.342,0.538,0.305,0.518,0.133,0.106,0.113,0.183,0.203,0.177,0.459,0.229,0.259,0.361,0.192,0.385,0.109,0.133,0.103,0.186,0.233,0.138,0.371,8
18144_Dance_music.wav,0.148,0.2,1.467,1.233,0.125,0.071,0.187,0.069,107.666,2302.773,777.739,2245.043,443.891,2781.154,364.499,2781.154,364.499,17.1,14.106,17.895,17.381,19.169,23.393,34.966,4.871,4.054,4.467,3.822,3.667,6.55,5.482,4453.096,1593.155,-63.905,92.95,-21.542,27.332,-2.411,2.213,6.269,7.62,-0.39,13.521,-3.669,5.607,0.587,49.451,36.619,21.902,16.326,15.349,15.588,13.167,12.493,13.59,8.954,10.108,8.392,8.683,0.353,0.289,0.289,0.395,0.569,0.436,0.404,0.304,0.36,0.318,0.389,0.592,0.271,0.246,0.237,0.277,0.391,0.306,0.261,0.221,0.308,0.276,0.276,0.33,7
27618_Dance_music.wav,0.101,0.155,1.588,2.084,0.16,0.153,0.127,0.089,129.199,3370.077,1524.863,2997.037,408.421,3434.991,274.202,3434.991,274.202,18.422,13.398,15.06,15.486,16.364,15.692,30.671,5.148,4.0,3.949,2.903,2.942,2.314,2.011,6947.964,2032.81,-139.261,54.881,24.639,14.494,9.592,18.207,1.394,10.911,1.993,11.708,-2.959,3.978,-4.291,70.806,37.718,17.077,14.465,11.109,8.867,7.697,7.602,7.326,6.537,6.621,6.372,5.833,0.489,0.441,0.412,0.376,0.483,0.723,0.594,0.471,0.479,0.559,0.671,0.578,0.247,0.235,0.241,0.232,0.214,0.273,0.282,0.257,0.236,0.254,0.296,0.262,7
21001_Dance_music.wav,0.112,0.156,1.435,1.267,0.106,0.056,0.141,0.066,143.555,2518.371,695.165,2543.241,318.783,3049.868,260.993,3049.868,260.993,18.829,15.397,18.46,17.704,17.086,16.213,31.194,5.508,4.907,4.627,3.724,3.344,2.67,2.732,5357.963,1266.962,-90.564,75.53,-6.614,27.98,-1.6,8.742,-2.866,4.07,-2.742,2.109,-3.02,2.483,-5.182,60.959,26.754,22.084,13.921,13.173,10.061,10.089,7.951,7.812,7.877,7.394,8.516,6.989,0.364,0.275,0.401,0.584,0.344,0.341,0.301,0.447,0.351,0.315,0.428,0.329,0.323,0.221,0.251,0.333,0.233,0.331,0.243,0.353,0.302,0.246,0.326,0.225,7
20103_Wedding_music.wav,0.013,0.018,2.569,4.987,0.044,0.039,0.016,0.009,123.047,515.881,655.77,605.814,516.941,1127.994,532.726,1127.994,532.726,20.648,18.51,26.096,25.394,27.397,15.665,29.739,4.322,4.85,4.372,4.269,4.703,2.642,3.939,897.83,1270.1,-501.358,177.639,67.361,8.323,-1.496,-0.827,-6.949,-11.59,-11.823,-6.786,-3.129,-1.077,-2.718,73.952,38.63,25.114,19.097,10.686,9.842,8.715,9.903,7.72,6.471,7.745,8.229,6.102,0.45,0.23,0.36,0.183,0.238,0.171,0.146,0.208,0.178,0.225,0.14,0.326,0.394,0.18,0.409,0.181,0.326,0.259,0.139,0.264,0.231,0.305,0.153,0.334,8
7119_Wedding_music.wav,0.136,0.175,1.222,0.482,0.054,0.012,0.169,0.047,129.199,1029.046,208.744,1265.36,268.859,1843.66,342.941,1843.66,342.941,22.413,16.306,21.475,20.705,20.507,22.149,34.706,5.234,3.302,3.723,2.691,3.207,2.948,4.858,1954.338,506.715,-138.533,184.25,-33.793,30.445,-0.267,3.861,-1.245,-0.455,-6.281,-5.815,-0.762,-5.295,-5.846,41.246,22.65,16.569,12.696,9.094,7.349,6.659,5.907,8.577,7.483,7.072,7.569,7.273,0.423,0.251,0.353,0.186,0.319,0.323,0.248,0.484,0.228,0.267,0.226,0.264,0.381,0.145,0.321,0.111,0.283,0.325,0.183,0.393,0.156,0.308,0.278,0.21,8
8732_Dance_music.wav,0.192,0.25,1.134,0.397,0.074,0.046,0.234,0.086,129.199,1729.776,505.289,2003.721,472.217,2628.114,469.918,2628.114,469.918,21.083,13.86,17.635,16.854,18.83,19.242,36.526,5.634,5.332,6.548,4.801,4.61,4.287,5.811,3435.814,1411.806,-109.216,102.467,-26.754,16.498,-2.169,6.966,-3.31,8.312,-0.487,8.98,-4.662,8.029,1.958,68.609,25.339,38.202,19.95,20.749,21.241,16.898,10.341,9.959,9.573,11.592,9.226,9.497,0.564,0.528,0.373,0.32,0.32,0.335,0.314,0.353,0.356,0.378,0.381,0.477,0.402,0.362,0.296,0.268,0.268,0.297,0.279,0.317,0.316,0.341,0.317,0.38,7
18828_Video_game_music.wav,0.135,0.174,1.33,0.672,0.133,0.028,0.172,0.025,92.285,2606.172,249.746,2582.235,150.92,3025.457,142.056,3025.457,142.056,19.714,14.189,16.7,19.659,17.595,17.641,32.062,4.558,3.965,3.471,4.16,2.856,2.076,1.746,5434.747,530.481,-27.272,78.97,1.088,40.241,-11.294,11.121,9.752,9.885,-1.537,-1.201,-6.538,0.7,-6.593,18.204,8.691,6.968,6.851,6.026,5.414,7.312,4.897,6.831,5.378,4.906,6.832,6.386,0.334,0.349,0.497,0.536,0.434,0.333,0.33,0.371,0.327,0.504,0.735,0.608,0.199,0.212,0.277,0.289,0.239,0.197,0.192,0.206,0.18,0.272,0.257,0.296,5
1850_Video_game_music.wav,0.088,0.141,1.47,2.203,0.045,0.035,0.109,0.09,135.999,874.351,656.904,1123.734,787.52,1539.075,1054.007,1539.075,1054.007,21.542,20.216,24.423,24.286,25.366,28.784,42.095,4.437,4.403,5.51,5.547,5.626,8.521,16.357,1748.638,1340.711,-318.118,90.031,1.295,23.07,-3.88,7.374,-8.496,-0.149,-7.288,-0.975,-4.243,5.098,1.345,190.267,64.613,10.632,20.946,6.557,7.15,9.954,8.264,8.791,11.265,8.203,8.359,13.405,0.157,0.428,0.12,0.044,0.038,0.079,0.263,0.151,0.241,0.115,0.06,0.098,0.173,0.456,0.149,0.093,0.083,0.124,0.421,0.201,0.299,0.185,0.115,0.192,5
486_Dance_music.wav,0.091,0.122,1.666,1.599,0.153,0.043,0.118,0.029,99.384,2511.709,379.036,2141.608,221.996,2616.927,203.103,2616.927,203.103,18.239,14.731,16.466,16.016,16.761,18.803,34.227,4.205,3.723,3.677,2.952,2.561,2.979,2.625,4537.837,712.982,-59.778,80.301,-37.885,44.391,-0.394,9.17,3.154,11.259,-6.555,4.307,-4.249,4.585,-3.026,47.099,15.47,15.778,8.439,6.88,8.43,6.527,5.877,8.887,6.978,5.968,5.879,5.743,0.622,0.468,0.381,0.438,0.665,0.515,0.473,0.477,0.424,0.54,0.368,0.416,0.307,0.221,0.278,0.244,0.254,0.227,0.243,0.227,0.215,0.274,0.188,0.199,7
18111_Christmas_music.wav,0.096,0.161,2.039,4.546,0.082,0.062,0.128,0.097,143.555,1593.27,1012.624,1688.366,714.391,2288.505,753.255,2288.505,753.255,18.607,14.699,18.352,20.558,21.862,18.729,32.567,9.962,7.207,7.54,7.735,8.603,7.024,7.354,3021.552,1930.254,-244.831,69.969,-25.057,4.119,-5.086,9.154,-5.515,-4.843,-5.381,-5.261,-4.135,4.687,5.445,187.229,53.76,34.329,24.845,22.183,15.306,17.381,18.166,15.362,14.644,16.531,12.22,14.108,0.303,0.379,0.375,0.48,0.601,0.406,0.315,0.236,0.307,0.354,0.405,0.446,0.303,0.36,0.335,0.332,0.378,0.318,0.284,0.282,0.304,0.341,0.338,0.327,6
10188_Lullaby.wav,0.014,0.028,2.568,7.764,0.07,0.081,0.017,0.022,107.666,1587.339,1538.697,1931.677,1339.67,2471.301,1407.878,2471.301,1407.878,19.361,23.027,24.652,28.023,24.51,29.123,30.703,5.549,6.128,5.704,7.925,7.626,10.825,3.931,3803.296,3700.346,-474.909,30.696,6.764,1.102,-6.183,-22.197,7.442,-7.639,2.364,2.119,-19.051,4.295,-6.255,145.732,26.744,14.299,17.809,12.145,25.434,11.417,12.792,8.654,9.766,18.535,8.891,12.689,0.211,0.102,0.139,0.348,0.47,0.221,0.219,0.095,0.062,0.07,0.141,0.274,0.34,0.222,0.265,0.354,0.465,0.241,0.35,0.202,0.179,0.197,0.22,0.329,4
6713_Wedding_music.wav,0.132,0.165,0.962,-0.054,0.117,0.037,0.163,0.022,123.047,1525.398,221.926,1330.299,99.681,1795.206,196.187,1795.206,196.187,22.308,17.056,25.746,27.165,27.044,23.628,45.023,4.915,4.053,4.039,2.594,2.688,3.796,3.541,2626.827,251.482,-140.215,151.042,-60.459,28.988,-15.807,-25.378,-12.915,9.411,-36.185,-9.711,-5.682,-0.146,-24.544,14.917,12.157,18.811,11.194,7.199,11.951,10.104,8.503,12.695,8.477,8.458,7.891,6.895,0.488,0.126,0.21,0.202,0.409,0.179,0.166,0.368,0.099,0.099,0.169,0.614,0.388,0.099,0.207,0.14,0.348,0.153,0.101,0.301,0.078,0.172,0.118,0.358,8
24798_Jingle.wav,0.127,0.182,1.82,2.415,0.102,0.036,0.16,0.088,143.555,1975.772,559.12,1971.757,434.881,2582.544,382.113,2582.544,382.113,23.288,15.747,19.074,19.044,18.183,17.547,32.746,5.69,3.858,3.906,3.532,2.9,2.185,2.834,3677.727,1349.72,-89.363,109.521,-40.806,4.199,-5.492,-2.216,-9.771,4.719,-10.078,-3.115,-3.356,-0.834,-10.81,75.484,33.628,22.043,19.79,13.34,10.108,14.302,11.408,8.933,8.876,8.147,8.162,9.003,0.25,0.414,0.399,0.308,0.489,0.35,0.346,0.257,0.405,0.425,0.259,0.289,0.188,0.333,0.285,0.225,0.347,0.243,0.332,0.218,0.347,0.306,0.217,0.267,2
28370_Dance_music.wav,0.089,0.151,3.497,10.356,0.154,0.075,0.126,0.082,92.285,2386.918,1068.355,2120.136,684.447,2623.197,600.798,2623.197,600.798,17.712,13.53,16.939,17.708,19.69,18.97,32.676,4.691,3.865,3.697,3.481,3.473,4.206,3.562,4604.575,2156.791,-108.228,101.067,-32.085,15.268,2.685,6.791,-7.884,5.675,-5.202,0.483,-0.316,5.686,-0.496,70.407,57.268,36.953,15.468,14.458,10.892,10.433,9.289,8.27,9.907,6.56,7.31,7.925,0.473,0.517,0.599,0.417,0.43,0.369,0.526,0.406,0.434,0.399,0.399,0.437,0.27,0.268,0.331,0.221,0.277,0.272,0.365,0.263,0.294,0.288,0.211,0.245,7
23302_Lullaby.wav,0.038,0.051,1.75,1.884,0.041,0.017,0.047,0.021,99.384,677.587,150.228,1054.854,171.899,1624.352,176.788,1624.352,176.788,22.985,19.224,23.23,23.437,25.846,31.582,40.015,4.261,3.348,3.689,3.624,3.657,5.931,5.264,1312.009,627.096,-358.732,192.688,5.424,59.955,9.761,-25.061,8.815,4.315,-1.378,1.773,-3.816,6.77,-6.717,58.587,11.362,16.933,18.16,9.202,13.427,10.79,6.363,6.252,7.555,9.047,6.696,11.145,0.457,0.229,0.295,0.7,0.217,0.197,0.196,0.145,0.226,0.205,0.449,0.493,0.323,0.207,0.141,0.334,0.121,0.255,0.234,0.135,0.282,0.149,0.326,0.276,4
17172_Video_game_music.wav,0.181,0.228,1.008,0.039,0.109,0.036,0.223,0.048,112.347,2340.622,371.433,2421.768,192.845,2933.639,158.244,2933.639,158.244,20.496,15.215,19.167,23.832,22.186,18.208,32.672,4.231,3.698,3.749,3.158,2.68,2.062,2.653,5012.288,665.525,-11.61,90.909,-10.517,23.082,-10.297,13.31,-2.681,5.356,-2.932,-2.437,-5.172,6.096,-0.823,19.736,16.066,9.017,8.83,6.434,6.166,6.252,5.276,5.366,5.195,5.614,5.782,6.357,0.227,0.37,0.606,0.307,0.286,0.316,0.556,0.392,0.317,0.279,0.193,0.37,0.189,0.253,0.34,0.153,0.274,0.243,0.361,0.281,0.247,0.182,0.125,0.284,5
7114_Christmas_music.wav,0.219,0.296,1.554,1.331,0.081,0.034,0.278,0.101,135.999,2299.106,641.904,2664.805,333.029,3216.208,228.608,3216.208,228.608,18.134,18.091,21.583,19.812,20.125,18.331,34.069,5.193,4.979,4.974,4.429,5.832,5.091,3.923,5384.173,1409.516,-42.335,90.438,19.773,17.809,-0.835,17.066,-3.22,4.454,-3.203,4.263,-1.872,0.3,-4.836,55.975,25.397,13.81,15.78,9.513,9.955,7.282,7.428,6.527,9.33,7.548,8.532,7.306,0.194,0.31,0.363,0.242,0.244,0.174,0.206,0.236,0.336,0.573,0.308,0.29,0.214,0.316,0.326,0.24,0.272,0.197,0.239,0.271,0.264,0.403,0.269,0.329,6
19143_Christmas_music.wav,0.234,0.297,1.052,0.142,0.111,0.087,0.292,0.059,123.047,2533.014,984.96,2683.228,351.392,3170.442,242.719,3170.442,242.719,18.103,16.256,20.651,20.871,19.92,17.613,33.298,4.546,3.752,4.143,3.798,3.502,2.472,3.196,5760.206,1508.584,-27.579,85.753,29.104,25.517,-2.628,11.278,-23.112,5.732,-3.933,-4.5,-8.008,-8.389,-10.492,41.463,28.615,17.068,15.809,9.859,9.159,11.859,7.417,8.678,8.112,6.309,7.426,7.658,0.329,0.27,0.443,0.293,0.336,0.338,0.248,0.48,0.303,0.334,0.197,0.242,0.324,0.241,0.377,0.24,0.316,0.313,0.183,0.379,0.217,0.291,0.169,0.256,6
10461_Jingle.wav,0.072,0.101,1.838,2.325,0.164,0.14,0.092,0.041,117.454,2784.377,1457.943,2573.485,507.521,3121.324,370.494,3121.324,370.494,19.751,15.934,19.319,20.272,19.289,18.619,33.243,6.367,3.98,4.427,3.983,3.383,3.799,3.121,5479.253,2196.841,-137.045,81.485,-1.594,1.854,-4.107,4.939,-3.155,9.37,-9.886,-2.642,-9.046,-5.055,-8.792,41.906,39.624,24.309,16.484,14.992,11.337,10.013,9.938,10.66,8.581,9.742,8.819,8.171,0.291,0.339,0.424,0.309,0.448,0.465,0.269,0.28,0.289,0.371,0.369,0.284,0.277,0.304,0.368,0.282,0.325,0.344,0.225,0.302,0.279,0.282,0.33,0.286,2
