file_name,signal_mean,signal_std,signal_skew,signal_kurtosis,zcr_mean,zcr_std,rmse_mean,rmse_std,tempo,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_2_mean,spectral_bandwidth_2_std,spectral_bandwidth_3_mean,spectral_bandwidth_3_std,spectral_bandwidth_4_mean,spectral_bandwidth_4_std,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,spectral_contrast_4_mean,spectral_contrast_5_mean,spectral_contrast_6_mean,spectral_contrast_7_mean,spectral_contrast_1_std,spectral_contrast_2_std,spectral_contrast_3_std,spectral_contrast_4_std,spectral_contrast_5_std,spectral_contrast_6_std,spectral_contrast_7_std,spectral_rolloff_mean,spectral_rolloff_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,chroma_stft_1_mean,chroma_stft_2_mean,chroma_stft_3_mean,chroma_stft_4_mean,chroma_stft_5_mean,chroma_stft_6_mean,chroma_stft_7_mean,chroma_stft_8_mean,chroma_stft_9_mean,chroma_stft_10_mean,chroma_stft_11_mean,chroma_stft_12_mean,chroma_stft_1_std,chroma_stft_2_std,chroma_stft_3_std,chroma_stft_4_std,chroma_stft_5_std,chroma_stft_6_std,chroma_stft_7_std,chroma_stft_8_std,chroma_stft_9_std,chroma_stft_10_std,chroma_stft_11_std,chroma_stft_12_std
22564_Wedding_music.wav,0.115,0.151,1.317,0.716,0.07,0.052,0.145,0.042,129.199,1592.894,837.747,2045.648,537.049,2708.924,468.247,2708.924,468.247,18.482,17.708,22.44,21.513,22.764,21.095,35.4,4.472,4.063,4.056,3.907,3.639,3.831,5.213,3307.759,1746.148,-142.636,123.544,7.349,29.316,13.399,16.339,-3.228,55.087,34.763,21.004,16.305,17.201,11.593,10.033,0.256,0.336,0.22,0.234,0.397,0.25,0.224,0.209,0.357,0.586,0.396,0.371,0.228,0.339,0.246,0.203,0.293,0.194,0.246,0.248,0.276,0.375,0.272,0.35
2170_Wedding_music.wav,0.1,0.13,1.386,0.846,0.063,0.013,0.125,0.038,99.384,1221.528,261.625,1518.883,309.207,2166.347,311.463,2166.347,311.463,27.037,16.644,21.26,21.889,21.26,19.697,38.641,5.045,4.117,4.422,3.676,3.333,2.342,4.467,2169.01,774.779,-160.43,152.838,-22.233,13.731,-19.441,2.701,-20.735,39.937,21.021,10.863,12.045,11.556,9.241,8.503,0.182,0.376,0.245,0.266,0.58,0.226,0.24,0.134,0.278,0.432,0.209,0.213,0.197,0.345,0.283,0.219,0.378,0.177,0.295,0.146,0.229,0.356,0.206,0.285
12235_Dance_music.wav,0.377,0.449,0.377,-0.865,0.055,0.039,0.44,0.088,129.199,2488.919,850.331,2774.207,355.493,3285.023,259.509,3285.023,259.509,23.42,14.912,18.102,17.019,18.599,19.38,32.128,4.904,4.659,5.534,4.316,4.423,4.345,2.881,5640.531,1479.081,-36.847,62.946,7.6,31.364,10.107,22.049,18.266,56.005,30.493,17.4,14.194,10.092,11.339,9.361,0.476,0.435,0.405,0.399,0.493,0.52,0.616,0.626,0.622,0.596,0.594,0.549,0.349,0.285,0.226,0.219,0.291,0.283,0.26,0.271,0.307,0.322,0.291,0.294
4743_Dance_music.wav,0.092,0.12,1.304,0.652,0.128,0.051,0.115,0.032,151.999,2502.569,613.75,2544.902,343.957,3040.35,236.255,3040.35,236.255,26.055,14.756,18.908,20.388,19.517,18.507,38.885,4.954,3.934,3.966,3.832,3.026,2.843,6.092,5432.633,1368.441,-94.693,87.899,-12.663,5.028,-9.384,14.688,-0.655,37.888,16.564,15.945,12.229,9.082,9.681,12.593,0.302,0.3,0.344,0.465,0.355,0.361,0.227,0.419,0.311,0.282,0.487,0.264,0.281,0.261,0.259,0.361,0.272,0.322,0.197,0.358,0.253,0.236,0.343,0.196
17151_Wedding_music.wav,0.192,0.244,1.151,0.294,0.083,0.016,0.236,0.059,92.285,1494.651,138.046,1436.222,139.801,1965.976,178.588,1965.976,178.588,19.252,15.123,18.71,18.55,20.229,23.528,52.026,6.898,3.63,3.765,2.688,2.253,3.584,6.047,2711.04,348.286,-75.659,128.144,-77.813,-8.201,-49.628,-29.26,-33.993,26.13,10.938,10.662,7.632,7.892,6.731,5.457,0.271,0.342,0.538,0.305,0.518,0.133,0.106,0.113,0.183,0.203,0.177,0.459,0.229,0.259,0.361,0.192,0.385,0.109,0.133,0.103,0.186,0.233,0.138,0.371
18144_Dance_music.wav,0.148,0.2,1.467,1.233,0.125,0.071,0.187,0.069,107.666,2302.773,777.739,2245.043,443.891,2781.154,364.499,2781.154,364.499,17.1,14.106,17.895,17.381,19.169,23.393,34.966,4.871,4.054,4.467,3.822,3.667,6.55,5.482,4453.096,1593.155,-63.905,92.95,-21.542,27.332,-2.411,2.213,6.269,49.451,36.619,21.902,16.326,15.349,15.588,13.167,0.353,0.289,0.289,0.395,0.569,0.436,0.404,0.304,0.36,0.318,0.389,0.592,0.271,0.246,0.237,0.277,0.391,0.306,0.261,0.221,0.308,0.276,0.276,0.33
27618_Dance_music.wav,0.101,0.155,1.588,2.084,0.16,0.153,0.127,0.089,129.199,3370.077,1524.863,2997.037,408.421,3434.991,274.202,3434.991,274.202,18.422,13.398,15.06,15.486,16.364,15.692,30.671,5.148,4.0,3.949,2.903,2.942,2.314,2.011,6947.964,2032.81,-139.261,54.881,24.639,14.494,9.592,18.207,1.394,70.806,37.718,17.077,14.465,11.109,8.867,7.697,0.489,0.441,0.412,0.376,0.483,0.723,0.594,0.471,0.479,0.559,0.671,0.578,0.247,0.235,0.241,0.232,0.214,0.273,0.282,0.257,0.236,0.254,0.296,0.262
21607_Soundtrack_music.wav,0.103,0.159,3.225,8.594,0.166,0.052,0.144,0.066,99.384,2867.374,593.621,2719.118,147.552,3241.688,72.09,3241.688,72.09,20.257,13.602,13.84,15.127,18.024,22.35,34.962,6.137,4.176,3.15,2.566,3.293,2.753,2.881,6236.697,1329.105,-51.296,72.479,-19.861,8.271,-2.866,-19.383,-0.427,73.6,23.443,13.024,9.91,12.808,11.313,11.085,0.44,0.377,0.393,0.686,0.659,0.535,0.414,0.617,0.521,0.594,0.791,0.596,0.212,0.227,0.187,0.234,0.233,0.238,0.18,0.243,0.232,0.243,0.208,0.206
21001_Dance_music.wav,0.112,0.156,1.435,1.267,0.106,0.056,0.141,0.066,143.555,2518.371,695.165,2543.241,318.783,3049.868,260.993,3049.868,260.993,18.829,15.397,18.46,17.704,17.086,16.213,31.194,5.508,4.907,4.627,3.724,3.344,2.67,2.732,5357.963,1266.962,-90.564,75.53,-6.614,27.98,-1.6,8.742,-2.866,60.959,26.754,22.084,13.921,13.173,10.061,10.089,0.364,0.275,0.401,0.584,0.344,0.341,0.301,0.447,0.351,0.315,0.428,0.329,0.323,0.221,0.251,0.333,0.233,0.331,0.243,0.353,0.302,0.246,0.326,0.225
22399_Background_music.wav,0.017,0.021,1.352,0.692,0.115,0.023,0.021,0.005,123.047,2339.789,183.624,2568.995,130.569,3138.913,98.873,3138.913,98.873,9.369,24.365,27.125,30.348,34.825,32.705,35.654,4.759,5.689,5.176,6.364,6.46,6.12,3.078,5203.882,555.929,-330.174,41.237,-13.461,-0.564,-11.839,-10.853,-31.23,40.361,18.932,11.826,10.695,13.897,19.765,18.203,0.304,0.129,0.332,0.329,0.287,0.352,0.14,0.303,0.139,0.353,0.345,0.154,0.335,0.089,0.35,0.336,0.255,0.319,0.104,0.338,0.124,0.361,0.351,0.125
20103_Wedding_music.wav,0.013,0.018,2.569,4.987,0.044,0.039,0.016,0.009,123.047,515.881,655.77,605.814,516.941,1127.994,532.726,1127.994,532.726,20.648,18.51,26.096,25.394,27.397,15.665,29.739,4.322,4.85,4.372,4.269,4.703,2.642,3.939,897.83,1270.1,-501.358,177.639,67.361,8.323,-1.496,-0.827,-6.949,73.952,38.63,25.114,19.097,10.686,9.842,8.715,0.45,0.23,0.36,0.183,0.238,0.171,0.146,0.208,0.178,0.225,0.14,0.326,0.394,0.18,0.409,0.181,0.326,0.259,0.139,0.264,0.231,0.305,0.153,0.334
7119_Wedding_music.wav,0.136,0.175,1.222,0.482,0.054,0.012,0.169,0.047,129.199,1029.046,208.744,1265.36,268.859,1843.66,342.941,1843.66,342.941,22.413,16.306,21.475,20.705,20.507,22.149,34.706,5.234,3.302,3.723,2.691,3.207,2.948,4.858,1954.338,506.715,-138.533,184.25,-33.793,30.445,-0.267,3.861,-1.245,41.246,22.65,16.569,12.696,9.094,7.349,6.659,0.423,0.251,0.353,0.186,0.319,0.323,0.248,0.484,0.228,0.267,0.226,0.264,0.381,0.145,0.321,0.111,0.283,0.325,0.183,0.393,0.156,0.308,0.278,0.21
8732_Dance_music.wav,0.192,0.25,1.134,0.397,0.074,0.046,0.234,0.086,129.199,1729.776,505.289,2003.721,472.217,2628.114,469.918,2628.114,469.918,21.083,13.86,17.635,16.854,18.83,19.242,36.526,5.634,5.332,6.548,4.801,4.61,4.287,5.811,3435.814,1411.806,-109.216,102.467,-26.754,16.498,-2.169,6.966,-3.31,68.609,25.339,38.202,19.95,20.749,21.241,16.898,0.564,0.528,0.373,0.32,0.32,0.335,0.314,0.353,0.356,0.378,0.381,0.477,0.402,0.362,0.296,0.268,0.268,0.297,0.279,0.317,0.316,0.341,0.317,0.38
