file_name,signal_mean,signal_std,signal_skew,signal_kurtosis,zcr_mean,zcr_std,rmse_mean,rmse_std,tempo,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_2_mean,spectral_bandwidth_2_std,spectral_bandwidth_3_mean,spectral_bandwidth_3_std,spectral_bandwidth_4_mean,spectral_bandwidth_4_std,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,spectral_contrast_4_mean,spectral_contrast_5_mean,spectral_contrast_6_mean,spectral_contrast_7_mean,spectral_contrast_1_std,spectral_contrast_2_std,spectral_contrast_3_std,spectral_contrast_4_std,spectral_contrast_5_std,spectral_contrast_6_std,spectral_contrast_7_std,spectral_rolloff_mean,spectral_rolloff_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,mfccs_8_std,mfccs_9_std,mfccs_10_std,mfccs_11_std,mfccs_12_std,mfccs_13_std,mfccs_14_std,mfccs_15_std,mfccs_16_std,mfccs_17_std,mfccs_18_std,mfccs_19_std,mfccs_20_std,chroma_stft_1_mean,chroma_stft_2_mean,chroma_stft_3_mean,chroma_stft_4_mean,chroma_stft_5_mean,chroma_stft_6_mean,chroma_stft_7_mean,chroma_stft_8_mean,chroma_stft_9_mean,chroma_stft_10_mean,chroma_stft_11_mean,chroma_stft_12_mean,chroma_stft_1_std,chroma_stft_2_std,chroma_stft_3_std,chroma_stft_4_std,chroma_stft_5_std,chroma_stft_6_std,chroma_stft_7_std,chroma_stft_8_std,chroma_stft_9_std,chroma_stft_10_std,chroma_stft_11_std,chroma_stft_12_std
22564_Wedding_music.wav,0.115,0.151,1.317,0.716,0.07,0.052,0.145,0.042,129.199,1592.651,837.728,2045.289,536.888,2708.512,467.969,2708.512,467.969,18.449,17.721,22.445,21.516,22.756,21.093,35.43,4.476,4.066,4.065,3.916,3.639,3.824,5.243,3306.739,1746.18,-142.613,123.57,7.341,29.321,13.385,16.337,-3.244,12.541,-6.374,-3.601,-4.86,1.149,1.898,-5.916,-5.203,2.012,-3.54,0.99,0.058,-2.581,55.101,34.764,21.004,16.297,17.204,11.594,10.059,9.509,8.915,8.192,9.556,9.259,7.673,7.328,7.014,6.733,6.599,6.985,10.731,8.286,0.256,0.336,0.22,0.234,0.397,0.25,0.224,0.209,0.357,0.586,0.396,0.371,0.228,0.339,0.246,0.203,0.293,0.194,0.246,0.248,0.276,0.375,0.271,0.35
2170_Wedding_music.wav,0.1,0.13,1.386,0.845,0.063,0.013,0.125,0.038,99.384,1221.879,261.216,1519.872,308.334,2167.979,310.472,2167.979,310.472,27.042,16.633,21.237,21.884,21.242,19.702,38.641,5.036,4.098,4.385,3.677,3.321,2.364,4.53,2169.532,774.384,-160.386,152.776,-22.189,13.689,-19.402,2.677,-20.705,-6.191,-12.622,-6.176,-7.811,-9.766,-10.765,-1.65,-14.27,-10.465,-15.924,-5.664,-8.628,-6.281,39.922,20.933,10.861,12.006,11.615,9.305,8.51,8.504,7.358,8.047,7.767,7.147,6.318,6.296,6.547,7.885,7.207,5.912,7.218,6.972,0.182,0.376,0.245,0.266,0.58,0.226,0.24,0.134,0.278,0.432,0.209,0.213,0.197,0.345,0.283,0.219,0.378,0.177,0.295,0.146,0.229,0.356,0.206,0.285
12235_Dance_music.wav,0.377,0.449,0.377,-0.866,0.055,0.039,0.44,0.088,129.199,2488.87,850.329,2774.112,355.504,3284.903,259.556,3284.903,259.556,23.42,14.885,18.109,17.016,18.564,19.378,32.135,4.962,4.657,5.548,4.316,4.39,4.342,2.865,5640.531,1479.081,-36.818,62.964,7.605,31.381,10.114,22.051,18.269,11.341,7.426,18.383,1.797,12.759,5.067,7.908,-5.865,5.344,-1.314,8.981,11.886,14.274,56.008,30.48,17.398,14.217,10.088,11.337,9.357,8.417,8.307,10.081,9.557,7.212,6.922,5.451,7.524,7.517,7.55,9.939,11.854,12.814,0.475,0.435,0.405,0.399,0.493,0.52,0.616,0.626,0.622,0.596,0.594,0.549,0.349,0.285,0.226,0.219,0.291,0.283,0.26,0.271,0.307,0.322,0.291,0.294
4743_Dance_music.wav,0.092,0.12,1.304,0.651,0.128,0.051,0.115,0.032,151.999,2502.637,613.8,2545.001,344.13,3040.454,236.438,3040.454,236.438,26.012,14.777,18.902,20.381,19.517,18.511,38.882,4.982,3.968,3.964,3.827,3.037,2.854,6.164,5432.708,1368.558,-94.681,87.895,-12.652,5.027,-9.372,14.684,-0.645,14.976,-12.346,9.082,-14.262,-0.136,-17.058,-0.804,-8.792,7.645,-5.678,3.03,-6.203,-0.415,37.908,16.565,15.968,12.229,9.088,9.676,12.593,8.133,7.21,7.108,6.847,5.795,6.465,7.053,8.534,9.146,8.74,9.914,10.197,8.288,0.303,0.3,0.344,0.465,0.355,0.361,0.227,0.419,0.311,0.282,0.487,0.265,0.281,0.261,0.259,0.361,0.272,0.322,0.197,0.358,0.253,0.236,0.343,0.197
17151_Wedding_music.wav,0.192,0.244,1.151,0.294,0.083,0.016,0.236,0.059,92.285,1494.605,138.084,1436.199,139.807,1965.915,178.565,1965.915,178.565,19.247,15.099,18.717,18.567,20.226,23.523,52.044,6.922,3.62,3.763,2.738,2.243,3.578,6.052,2710.916,348.414,-75.638,128.155,-77.805,-8.186,-49.62,-29.247,-33.991,-27.063,-29.789,-13.459,-23.023,-0.726,-7.001,-1.736,-6.84,-6.653,-11.525,-7.162,-5.856,-6.099,26.141,10.967,10.673,7.659,7.918,6.758,5.467,5.836,6.023,6.736,8.922,6.905,7.029,7.339,6.491,6.188,5.355,5.571,5.286,6.97,0.271,0.342,0.538,0.305,0.518,0.133,0.106,0.113,0.183,0.203,0.177,0.459,0.229,0.259,0.361,0.192,0.385,0.109,0.133,0.103,0.186,0.233,0.138,0.371
18144_Dance_music.wav,0.148,0.2,1.467,1.233,0.125,0.071,0.187,0.069,107.666,2302.715,777.686,2244.995,443.917,2781.067,364.565,2781.067,364.565,17.103,14.095,17.864,17.387,19.162,23.396,34.96,4.868,4.049,4.375,3.853,3.637,6.558,5.493,4453.096,1593.155,-63.898,92.952,-21.547,27.333,-2.414,2.209,6.263,7.622,-0.393,13.521,-3.669,5.605,0.584,4.659,0.946,3.381,-0.35,1.237,-5.08,9.435,49.438,36.618,21.901,16.327,15.355,15.596,13.162,12.484,13.593,8.954,10.108,8.393,8.687,7.92,9.197,7.953,9.189,6.543,7.677,6.952,0.353,0.289,0.289,0.395,0.569,0.436,0.404,0.304,0.36,0.318,0.389,0.592,0.271,0.246,0.237,0.277,0.391,0.306,0.261,0.221,0.308,0.276,0.276,0.33
27618_Dance_music.wav,0.101,0.155,1.588,2.084,0.16,0.153,0.127,0.089,129.199,3369.892,1524.509,2996.927,408.457,3434.865,274.292,3434.865,274.292,18.417,13.391,15.049,15.49,16.364,15.692,30.677,5.149,3.987,3.926,2.923,2.943,2.313,1.982,6947.84,2032.669,-139.256,54.882,24.636,14.492,9.59,18.209,1.395,10.914,1.991,11.708,-2.961,3.978,-4.292,2.692,-1.439,3.825,-4.489,1.844,-1.43,3.411,70.805,37.716,17.077,14.467,11.109,8.866,7.697,7.6,7.326,6.537,6.625,6.372,5.832,5.244,5.912,5.19,7.143,7.935,8.039,7.105,0.489,0.441,0.412,0.376,0.483,0.723,0.594,0.471,0.479,0.559,0.671,0.578,0.247,0.235,0.241,0.232,0.214,0.273,0.282,0.257,0.236,0.254,0.296,0.262
21607_Soundtrack_music.wav,0.103,0.159,3.225,8.594,0.166,0.052,0.144,0.066,99.384,2867.813,593.881,2719.015,147.429,3241.435,71.752,3241.435,71.752,20.253,13.595,13.834,15.115,18.027,22.345,34.968,6.14,4.177,3.148,2.524,3.296,2.744,2.873,6236.946,1329.234,-51.262,72.468,-19.852,8.289,-2.881,-19.355,-0.442,-12.59,-1.818,12.667,-11.539,14.698,-14.386,8.327,-6.673,-1.621,0.84,-3.253,-3.672,-8.502,73.539,23.456,13.029,9.963,12.783,11.346,11.078,8.367,8.475,9.031,7.446,8.46,5.947,5.878,6.451,6.527,5.953,5.145,4.059,4.803,0.44,0.377,0.393,0.686,0.66,0.535,0.414,0.617,0.521,0.594,0.791,0.596,0.212,0.227,0.187,0.234,0.233,0.238,0.18,0.243,0.232,0.243,0.208,0.206
21001_Dance_music.wav,0.112,0.156,1.435,1.266,0.106,0.056,0.141,0.066,143.555,2518.334,695.216,2542.994,319.004,3049.46,261.228,3049.46,261.228,18.833,15.388,18.442,17.687,17.066,16.212,31.214,5.508,4.881,4.582,3.7,3.289,2.667,2.69,5357.963,1266.962,-90.561,75.547,-6.629,27.996,-1.614,8.75,-2.885,4.076,-2.764,2.118,-3.028,2.501,-5.191,1.145,-7.717,-0.771,-4.436,4.17,-3.397,0.615,60.957,26.769,22.068,13.954,13.159,10.066,10.084,7.963,7.772,7.882,7.392,8.554,6.979,6.656,6.632,6.973,7.361,8.95,9.387,8.747,0.364,0.275,0.401,0.584,0.344,0.341,0.301,0.447,0.352,0.315,0.428,0.329,0.323,0.221,0.251,0.333,0.233,0.331,0.243,0.353,0.302,0.246,0.326,0.225
22399_Background_music.wav,0.017,0.021,1.352,0.692,0.115,0.023,0.021,0.005,123.047,2339.576,184.143,2568.576,131.33,3138.349,99.548,3138.349,99.548,9.371,24.352,27.113,30.361,34.818,32.708,35.668,4.761,5.697,5.176,6.364,6.461,6.118,3.069,5203.284,557.093,-330.197,41.249,-13.46,-0.517,-11.817,-10.829,-31.275,-22.533,-33.894,-23.538,-21.144,1.968,0.057,-0.384,-9.275,4.665,-1.073,0.691,6.824,11.212,40.359,18.955,11.825,10.711,13.919,19.775,18.219,20.774,12.016,12.647,15.697,11.923,12.928,15.932,17.629,17.6,15.925,9.834,14.455,16.487,0.304,0.129,0.332,0.329,0.287,0.352,0.14,0.303,0.139,0.353,0.345,0.154,0.335,0.089,0.35,0.336,0.255,0.319,0.104,0.338,0.124,0.361,0.351,0.125
